timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1617177311353,4,Ticks,201,,Thread Group - Ticks 1-5,,true,,121,533,17,51,4,0,0,2021-03-31 09:54:56.385
1617177311385,4,Statistics,200,,Thread Group - Statistics 2-5,text,true,,222,323,17,51,4,0,0,2021-03-31 09:54:56.423
1617177311446,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,330,17,51,3,0,0,2021-03-31 09:54:56.482
1617177311919,3,Ticks,201,,Thread Group - Ticks 1-18,,true,,121,536,18,52,3,0,1,2021-03-31 09:55:11.916
1617177311978,3,Statistics,200,,Thread Group - Statistics 2-18,text,true,,222,323,18,53,3,0,1,2021-03-31 09:55:11.976
1617177312040,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-18,text,true,,264,333,18,54,3,0,1,2021-03-31 09:55:12.037
1617177313117,4,Ticks,201,,Thread Group - Ticks 1-19,,true,,121,536,19,55,4,0,2,2021-03-31 09:55:13.115
1617177313183,4,Statistics,200,,Thread Group - Statistics 2-19,text,true,,220,323,19,56,4,0,2,2021-03-31 09:55:13.181
1617177313239,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-19,text,true,,264,333,19,57,3,0,1,2021-03-31 09:55:13.235
1617177314317,4,Ticks,201,,Thread Group - Ticks 1-20,,true,,121,536,20,58,4,0,1,2021-03-31 09:55:14.315
1617177314381,2,Statistics,200,,Thread Group - Statistics 2-20,text,true,,222,323,20,59,2,0,0,2021-03-31 09:55:14.379
1617177314443,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-20,text,true,,264,333,20,60,3,0,1,2021-03-31 09:55:14.441
1617177315513,3,Ticks,204,,Thread Group - Ticks 1-21,,true,,102,536,21,61,0,0,1,2021-03-31 09:55:15.511
1617177315568,5,Ticks,204,,Thread Group - Ticks 1-6,,true,,102,533,21,61,0,0,0,2021-03-31 09:54:57.798
1617177315600,3,Statistics,200,,Thread Group - Statistics 2-21,text,true,,222,323,21,62,3,0,1,2021-03-31 09:55:15.599
1617177315631,4,Statistics,200,,Thread Group - Statistics 2-6,text,true,,222,323,21,62,3,0,0,2021-03-31 09:54:57.729
1617177315629,10,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,266,330,20,62,9,0,0,2021-03-31 09:54:57.722
1617177315645,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-21,text,true,,264,333,21,63,6,0,3,2021-03-31 09:55:15.641
1617177316708,3,Ticks,201,,Thread Group - Ticks 1-22,,true,,121,536,22,64,3,0,1,2021-03-31 09:55:16.707
1617177316802,2,Statistics,200,,Thread Group - Statistics 2-22,text,true,,220,323,22,65,2,0,1,2021-03-31 09:55:16.801
1617177316837,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-22,text,true,,264,333,22,66,5,0,2,2021-03-31 09:55:16.836
1617177317906,3,Ticks,204,,Thread Group - Ticks 1-23,,true,,102,536,23,67,0,0,2,2021-03-31 09:55:17.904
1617177317981,3,Statistics,200,,Thread Group - Statistics 2-23,text,true,,222,323,23,68,3,0,1,2021-03-31 09:55:17.980
1617177318036,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-23,text,true,,265,333,23,69,3,0,1,2021-03-31 09:55:18.035
1617177319107,3,Ticks,204,,Thread Group - Ticks 1-24,,true,,102,536,24,70,0,0,1,2021-03-31 09:55:19.105
1617177319187,4,Statistics,200,,Thread Group - Statistics 2-24,text,true,,221,323,24,71,4,0,2,2021-03-31 09:55:19.186
1617177319233,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-24,text,true,,265,333,24,72,3,0,1,2021-03-31 09:55:19.231
1617177319750,5,Ticks,201,,Thread Group - Ticks 1-7,,true,,121,533,24,72,5,0,0,2021-03-31 09:54:58.913
1617177319765,5,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,533,24,72,0,0,0,2021-03-31 09:54:58.840
1617177319784,3,Statistics,200,,Thread Group - Statistics 2-2,text,true,,221,323,24,72,3,0,0,2021-03-31 09:54:58.958
1617177319785,4,Statistics,200,,Thread Group - Statistics 2-7,text,true,,221,323,24,72,4,0,0,2021-03-31 09:54:58.873
1617177319829,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,330,24,72,3,0,0,2021-03-31 09:54:58.912
1617177319834,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,330,24,72,3,0,0,2021-03-31 09:54:58.912
1617177320311,3,Ticks,204,,Thread Group - Ticks 1-25,,true,,102,536,25,73,0,0,1,2021-03-31 09:55:20.309
1617177320402,3,Statistics,200,,Thread Group - Statistics 2-25,text,true,,222,323,25,74,3,0,1,2021-03-31 09:55:20.401
