timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610627617896,2,Ticks,204,,Thread Group - Ticks 1-9,,false,Test failed: code expected to match /201/,102,460,15,45,0,0,0,2021-01-14 13:29:53.190
1610627617919,2,Statistics,200,,Thread Group - Statistics 2-9,text,true,,214,324,15,44,2,0,1,2021-01-14 13:29:53.200
1610627617941,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,258,334,15,43,2,0,1,2021-01-14 13:29:53.190
1610627628090,3,Ticks,204,,Thread Group - Ticks 1-10,,false,Test failed: code expected to match /201/,102,460,14,42,0,0,1,2021-01-14 13:30:03.106
1610627628119,2,Statistics,200,,Thread Group - Statistics 2-10,text,true,,214,324,14,41,1,0,0,2021-01-14 13:30:03.135
1610627628138,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,258,334,14,40,1,0,0,2021-01-14 13:30:03.156
1610627638285,2,Ticks,204,,Thread Group - Ticks 1-11,,false,Test failed: code expected to match /201/,102,460,13,39,0,0,1,2021-01-14 13:30:13.597
1610627638320,3,Statistics,200,,Thread Group - Statistics 2-11,text,true,,214,324,13,38,3,0,1,2021-01-14 13:30:13.597
1610627638345,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,258,334,13,37,3,0,1,2021-01-14 13:30:13.597
1610627648478,2,Ticks,204,,Thread Group - Ticks 1-12,,false,Test failed: code expected to match /201/,102,460,12,36,0,0,0,2021-01-14 13:30:23.504
1610627648519,2,Statistics,200,,Thread Group - Statistics 2-12,text,true,,214,324,12,35,2,0,1,2021-01-14 13:30:23.531
1610627648540,1,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,258,334,12,34,1,0,0,2021-01-14 13:30:23.559
1610627658687,2,Ticks,204,,Thread Group - Ticks 1-13,,false,Test failed: code expected to match /201/,102,460,11,33,0,0,1,2021-01-14 13:30:33.702
1610627658719,1,Statistics,200,,Thread Group - Statistics 2-13,text,true,,214,324,11,32,1,0,0,2021-01-14 13:30:33.729
1610627658740,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-13,text,true,,258,334,11,31,2,0,0,2021-01-14 13:30:33.749
1610627668882,3,Ticks,204,,Thread Group - Ticks 1-14,,false,Test failed: code expected to match /201/,102,460,10,30,0,0,1,2021-01-14 13:30:43.896
1610627668918,2,Statistics,200,,Thread Group - Statistics 2-14,text,true,,214,324,10,29,2,0,1,2021-01-14 13:30:43.929
1610627668938,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-14,text,true,,258,334,10,28,2,0,1,2021-01-14 13:30:43.950
1610627679080,2,Ticks,204,,Thread Group - Ticks 1-15,,false,Test failed: code expected to match /201/,102,460,9,27,0,0,1,2021-01-14 13:30:54.091
1610627679119,1,Statistics,200,,Thread Group - Statistics 2-15,text,true,,214,324,9,26,1,0,0,2021-01-14 13:30:54.130
1610627679138,1,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-15,text,true,,258,334,9,25,1,0,0,2021-01-14 13:30:54.164
1610627689278,2,Ticks,204,,Thread Group - Ticks 1-16,,false,Test failed: code expected to match /201/,102,460,8,24,0,0,1,2021-01-14 13:31:04.292
1610627689338,12,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-16,text,true,,258,334,8,24,1,0,0,2021-01-14 13:31:04.351
1610627689318,2,Statistics,200,,Thread Group - Statistics 2-16,text,true,,214,324,8,24,1,0,0,2021-01-14 13:31:04.330
1610627699476,2,Ticks,204,,Thread Group - Ticks 1-17,,false,Test failed: code expected to match /201/,102,460,7,21,0,0,1,2021-01-14 13:31:14.752
1610627699504,2,Ticks,204,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,102,457,6,20,0,0,1,2021-01-14 13:31:14.760
1610627699518,2,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,324,7,19,2,0,1,2021-01-14 13:31:14.771
1610627699520,2,Statistics,200,,Thread Group - Statistics 2-17,text,true,,214,324,7,19,1,0,1,2021-01-14 13:31:14.750
1610627699538,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-17,text,true,,258,334,7,18,3,0,2,2021-01-14 13:31:14.771
1610627699539,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,331,7,18,2,0,1,2021-01-14 13:31:14.778
1610627709675,2,Ticks,204,,Thread Group - Ticks 1-18,,false,Test failed: code expected to match /201/,102,460,5,15,0,0,1,2021-01-14 13:31:24.690
1610627709720,2,Statistics,200,,Thread Group - Statistics 2-18,text,true,,214,324,5,14,2,0,0,2021-01-14 13:31:24.729
1610627709739,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-18,text,true,,258,334,5,13,1,0,0,2021-01-14 13:31:24.758
1610627719874,2,Ticks,204,,Thread Group - Ticks 1-19,,false,Test failed: code expected to match /201/,102,460,4,12,0,0,0,2021-01-14 13:31:35.248
1610627719919,2,Statistics,200,,Thread Group - Statistics 2-19,text,true,,214,324,4,11,2,0,1,2021-01-14 13:31:35.248
1610627719939,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-19,text,true,,258,334,4,10,1,0,1,2021-01-14 13:31:35.257
1610627730072,2,Ticks,204,,Thread Group - Ticks 1-20,,false,Test failed: code expected to match /201/,102,460,3,9,0,0,1,2021-01-14 13:31:45.084
1610627730121,1,Statistics,200,,Thread Group - Statistics 2-20,text,true,,214,324,3,8,1,0,0,2021-01-14 13:31:45.139
1610627730139,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-20,text,true,,258,334,3,7,1,0,0,2021-01-14 13:31:45.154
1610627740270,2,Ticks,204,,Thread Group - Ticks 1-21,,false,Test failed: code expected to match /201/,102,460,2,6,0,0,0,2021-01-14 13:31:55.629
1610627740320,2,Statistics,200,,Thread Group - Statistics 2-21,text,true,,214,324,2,5,2,0,1,2021-01-14 13:31:55.640
