timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610564334003,6,Ticks,204,,Thread Group - Ticks 1-3,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:55:09.016
1610564334008,6,Statistics,200,,Thread Group - Statistics 2-3,text,true,,214,324,25,75,5,0,2,2021-01-13 19:55:09.020
1610564334028,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,258,331,25,75,3,0,1,2021-01-13 19:55:09.045
1610564344191,7,Ticks,204,,Thread Group - Ticks 1-4,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:55:19.224
1610564344206,5,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,324,25,75,5,0,2,2021-01-13 19:55:19.224
1610564344227,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,258,331,25,75,2,0,1,2021-01-13 19:55:19.243
1610564354390,7,Ticks,204,,Thread Group - Ticks 1-5,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:55:29.427
1610564354411,4,Statistics,200,,Thread Group - Statistics 2-5,text,true,,214,324,25,75,4,0,1,2021-01-13 19:55:29.433
1610564354425,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,258,331,25,75,3,0,1,2021-01-13 19:55:29.446
1610564364602,7,Ticks,204,,Thread Group - Ticks 1-6,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,3,2021-01-13 19:55:39.630
1610564364610,6,Statistics,200,,Thread Group - Statistics 2-6,text,true,,214,324,25,75,5,0,2,2021-01-13 19:55:39.631
1610564364626,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,258,331,25,75,3,0,1,2021-01-13 19:55:39.635
1610564374783,3,Ticks,204,,Thread Group - Ticks 1-7,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:55:49.807
1610564374808,3,Statistics,200,,Thread Group - Statistics 2-7,text,true,,214,324,25,75,2,0,1,2021-01-13 19:55:49.831
1610564374828,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,258,331,25,75,5,0,2,2021-01-13 19:55:49.835
1610564384982,2,Ticks,204,,Thread Group - Ticks 1-8,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:56:00.023
1610564385004,2,Statistics,200,,Thread Group - Statistics 2-8,text,true,,214,324,25,75,2,0,1,2021-01-13 19:56:00.025
1610564385026,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,258,331,25,75,2,0,1,2021-01-13 19:56:00.047
1610564385617,6,Ticks,204,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,102,455,25,75,0,0,2,2021-01-13 19:56:00.653
1610564385617,7,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,324,25,75,5,0,2,2021-01-13 19:56:00.654
1610564385628,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,25,75,6,0,3,2021-01-13 19:56:00.653
1610564395187,9,Ticks,204,,Thread Group - Ticks 1-9,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,4,2021-01-13 19:56:10.202
1610564395203,4,Statistics,200,,Thread Group - Statistics 2-9,text,true,,214,324,25,75,4,0,2,2021-01-13 19:56:10.251
